id,name,category,description,averageTime,rating
E077,Exhibit 77 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,4.1
E078,Exhibit 78 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,5,4.2
E079,Exhibit 79 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,10,4.8
E080,Exhibit 80 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,5,4.7
E081,Exhibit 81 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,4.3
E082,Exhibit 82 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,10,3.7
E083,Exhibit 83 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,15,4.2
E084,Exhibit 84 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,10,4.7
E085,Exhibit 85 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,5,3.7
E086,Exhibit 86 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,10,3.9
E087,Exhibit 87 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,4.3
E088,Exhibit 88 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,10,4.7
E089,Exhibit 89 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,15,4.1
E090,Exhibit 90 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,10,3.8
E091,Exhibit 91 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,5,4.4
E092,Exhibit 92 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,15,3.9
E093,Exhibit 93 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,5,4.0
E094,Exhibit 94 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,10,4.4
E095,Exhibit 95 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,5,3.5
E096,Exhibit 96 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,15,4.8
E097,Exhibit 97 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,10,4.4
E098,Exhibit 98 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,5,4.7
E099,Exhibit 99 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,5,3.9
E100,Exhibit 100 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,10,4.0
E101,Exhibit 101 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,5,5.0
E102,Exhibit 102 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,5,4.8
E103,Exhibit 103 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,5,3.7
E104,Exhibit 104 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,15,4.0
E105,Exhibit 105 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,5,4.2
E106,Exhibit 106 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,10,3.9
E107,Exhibit 107 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,10,4.6
E108,Exhibit 108 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,3.5
E109,Exhibit 109 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,3.5
E110,Exhibit 110 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,10,4.7
E111,Exhibit 111 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,5,4.4
E112,Exhibit 112 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,10,4.0
E113,Exhibit 113 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,5,4.4
E114,Exhibit 114 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,3.9
E115,Exhibit 115 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,15,4.7
E116,Exhibit 116 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,5,4.5
E117,Exhibit 117 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,10,4.0
E118,Exhibit 118 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,10,3.9
E119,Exhibit 119 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,10,4.9
E120,Exhibit 120 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,15,3.8
E121,Exhibit 121 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,10,4.0
E122,Exhibit 122 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,10,4.5
E123,Exhibit 123 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,10,4.0
E124,Exhibit 124 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,5,4.4
E125,Exhibit 125 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,10,3.8
E126,Exhibit 126 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,10,3.6
E127,Exhibit 127 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,5,4.2
E128,Exhibit 128 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,5,3.7
E129,Exhibit 129 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,5,4.0
E130,Exhibit 130 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,10,4.6
E131,Exhibit 131 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,10,4.5
E132,Exhibit 132 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,15,4.9
E133,Exhibit 133 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,5,4.4
E134,Exhibit 134 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,10,4.1
E135,Exhibit 135 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,4.0
E136,Exhibit 136 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,15,4.0
E137,Exhibit 137 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,5,4.5
E138,Exhibit 138 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,10,4.5
E139,Exhibit 139 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,5,3.9
E140,Exhibit 140 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,10,3.7
E141,Exhibit 141 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,15,4.0
E142,Exhibit 142 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,4.6
E143,Exhibit 143 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,10,4.3
E144,Exhibit 144 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,10,3.9
E145,Exhibit 145 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,10,3.5
E146,Exhibit 146 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,10,4.9
E147,Exhibit 147 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,10,3.9
E148,Exhibit 148 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,4.5
E149,Exhibit 149 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,15,4.9
E150,Exhibit 150 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,4.9
E151,Exhibit 151 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,15,4.5
E152,Exhibit 152 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,5,3.6
E153,Exhibit 153 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,10,4.4
E154,Exhibit 154 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,10,4.4
E155,Exhibit 155 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,5,3.8
E156,Exhibit 156 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,10,3.9
E157,Exhibit 157 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,15,4.0
E158,Exhibit 158 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,15,4.3
E159,Exhibit 159 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,3.9
E160,Exhibit 160 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,15,3.6
E161,Exhibit 161 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,10,4.8
E162,Exhibit 162 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,5,4.3
E163,Exhibit 163 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,15,3.9
E164,Exhibit 164 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,15,4.3
E165,Exhibit 165 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,10,4.5
E166,Exhibit 166 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,15,3.8
E167,Exhibit 167 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,15,3.5
E168,Exhibit 168 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,5,4.5
E169,Exhibit 169 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,10,4.9
E170,Exhibit 170 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,5,3.9
E171,Exhibit 171 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,10,4.4
E172,Exhibit 172 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,15,4.5
E173,Exhibit 173 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,10,4.3
E174,Exhibit 174 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,10,3.9
E175,Exhibit 175 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,10,4.8
E176,Exhibit 176 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,10,4.2
E177,Exhibit 177 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,5,3.8
E178,Exhibit 178 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,15,4.8
E179,Exhibit 179 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,15,4.1
E180,Exhibit 180 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,5,3.9
E181,Exhibit 181 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,15,4.4
E182,Exhibit 182 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,10,4.1
E183,Exhibit 183 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,10,3.9
E184,Exhibit 184 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,15,4.7
E185,Exhibit 185 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,15,4.1
E186,Exhibit 186 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,4.6
E187,Exhibit 187 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,15,4.6
E188,Exhibit 188 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,10,3.7
E189,Exhibit 189 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,10,4.5
E190,Exhibit 190 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,5,4.9
E191,Exhibit 191 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,15,4.7
E192,Exhibit 192 - Physics,physics,An engaging exhibit about physics featuring interactive elements and learning content.,10,4.3
E193,Exhibit 193 - Earth Science,earth-science,An engaging exhibit about earth-science featuring interactive elements and learning content.,15,4.5
E194,Exhibit 194 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,5,3.9
E195,Exhibit 195 - Technology,technology,An engaging exhibit about technology featuring interactive elements and learning content.,10,4.4
E196,Exhibit 196 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,15,3.6
E197,Exhibit 197 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,15,4.2
E198,Exhibit 198 - Ai And Robotics,ai-and-robotics,An engaging exhibit about ai-and-robotics featuring interactive elements and learning content.,15,4.6
E199,Exhibit 199 - Environment,environment,An engaging exhibit about environment featuring interactive elements and learning content.,10,4.9
E200,Exhibit 200 - Space And Astronomy,space-and-astronomy,An engaging exhibit about space-and-astronomy featuring interactive elements and learning content.,15,4.1
